player,shots,goals,xg_total,goals_minus_xg,std_error,z_score,p_value,ci_low,ci_high,significant,p_value_fdr_bh,significant_fdr
Ousmane Dembélé,20,0,1.1336294975517367,-1.1336294975517367,1.0163458755729595,-1.1153973512340563,0.26468018410779837,-3.1256308095105645,0.8583718144070911,False,0.8087280695606812,False
Kai Havertz,33,4,5.146735372595973,-1.1467353725959732,1.9237171449657737,-0.5961039415783632,0.5511057911906878,-4.917151693171109,2.6236809479791616,False,0.9223074454443565,False
Domenico Berardi,14,0,1.1871977117596288,-1.1871977117596288,1.0002595654082158,-1.186889636266684,0.23527115576911006,-3.1476704351514186,0.7732750116321607,False,0.8087280695606812,False
Cristiano Ronaldo dos Santos Aveiro,64,5,6.241119742354266,-1.2411197423542664,2.1823735069428567,-0.5687018003132146,0.5695585258541971,-5.518493216776639,3.036253732068106,False,0.9223074454443565,False
Yannick Ferreira Carrasco,17,0,1.2491831434526661,-1.2491831434526661,1.0661475894273318,-1.171679377077286,0.24132580585829788,-3.338794020934433,0.8404277340291006,False,0.8087280695606812,False
Mateo Kovačić,17,0,1.3468842113757697,-1.3468842113757697,1.0625841473286164,-1.2675553411575886,0.20495678873379686,-3.4295108706830604,0.7357424479315211,False,0.8087280695606812,False
Ismaïla Sarr,12,0,1.373481528780875,-1.373481528780875,0.9950500146534482,-1.380314063167192,0.16748996681055583,-3.3237437203176867,0.5767806627559364,False,0.8087280695606812,False
Thomas Müller,14,0,1.661092465565741,-1.661092465565741,1.1634407801450983,-1.4277413117310347,0.1533663306606463,-3.941394492795317,0.6192095616638347,False,0.8087280695606812,False
Antoine Griezmann,44,2,3.695513082648048,-1.695513082648048,1.7341504578635358,-0.9777197099361904,0.3282129707477428,-5.094385523834223,1.7033593585381266,False,0.8087280695606812,False
Gerard Moreno Balaguero,15,0,1.706007601156503,-1.706007601156503,1.1712571351889014,-1.4565611170269257,0.14523756744366545,-4.001629402762311,0.589614200449305,False,0.8087280695606812,False
Memphis Depay,39,3,4.792233194563459,-1.792233194563459,1.9183496854602704,-0.9342578197016504,0.35017091671699596,-5.552129487819331,1.967663098692412,False,0.8087280695606812,False
Gabriel Fernando de Jesus,12,0,1.8734616191330222,-1.8734616191330222,1.1965794321469418,-1.5656809475419415,0.11742332880200768,-4.218714210782418,0.47179097251637336,False,0.8087280695606812,False
Aleksandar Mitrović,36,3,5.028184424352875,-2.028184424352875,1.9388868539229114,-1.0460561018551906,0.2955351311671408,-5.8283328281399545,1.771963979434204,False,0.8087280695606812,False
Lautaro Javier Martínez,14,0,2.2826754070663458,-2.2826754070663458,1.3120118024115277,-1.73982840921911,0.08188915244847017,-4.854171287084421,0.2888204729517301,False,0.6619373156251339,False
Neymar da Silva Santos Junior,38,3,5.504411500404453,-2.504411500404453,1.807270215749245,-1.3857426955748242,0.1658254859777557,-6.0465960336049065,1.0377730327960002,False,0.8087280695606812,False
Marcus Berg,17,0,2.873390174625672,-2.873390174625672,1.421400680577781,-2.021520190533239,0.043225944420083984,-5.659284316158844,-0.08749603309249965,True,0.537751101228605,False
