player,shots,goals,xg_total,raw_conversion,expected_conversion,conv_mean,conv_hdi_low,conv_hdi_high,skill_mean,skill_hdi_low,skill_hdi_high,shrinkage,goals_minus_xg_raw,goals_minus_xg_shrunk
Michy Batshuayi Tunga,14,2,2.6836660999350404,0.14285714285714285,0.19169043570964575,0.19134215503149998,0.13907760928402205,0.2496771599420048,-0.0022493263778620154,-0.3839088919030942,0.33872850821461586,0.9928679665490155,-0.6836660999350404,-0.004875929494040587
Eden Hazard,23,2,2.8711360593947854,0.08695652173913043,0.12483200258238197,0.1242325236608864,0.08247874967775293,0.17303967560732195,-0.005498606323115274,-0.4616880493108395,0.38321119940899484,0.9841723746300006,-0.8711360593947854,-0.013788015194398096
Joshua Kimmich,18,0,0.9539361920803956,0.0,0.05299645511557753,0.052691485511454444,0.02607075642254309,0.08788555586726207,-0.00609313400548972,-0.7374466034705724,0.5433478071484239,0.9942454716365842,-0.9539361920803956,-0.00548945287421565
Marcelo Brozović,12,0,1.0016986647762796,0.0,0.08347488873135663,0.08258963430967395,0.04794661703662835,0.12550614410919142,-0.011627087926569857,-0.5924892476890178,0.45475305896488005,0.9893949613454215,-1.0016986647762796,-0.010623053060192178
Martin Braithwaite Christensen,21,1,2.069606506557579,0.047619047619047616,0.09855269078845613,0.09721584567524301,0.06019998459273239,0.14186154771268283,-0.015139517546317371,-0.5345847506704473,0.4134963690963396,0.9737532006346632,-1.0696065065575788,-0.028073747377475478
Kai Havertz,33,4,5.146735372595973,0.12121212121212122,0.15596167795745375,0.1537931653426498,0.10850981790590236,0.20527155004319486,-0.01656762177923854,-0.4174661920736211,0.3349208288936496,0.9375959632896552,-1.1467353725959732,-0.07156091628852934
Marcus Thuram,13,0,1.1200164880721117,0.0,0.08615511446708551,0.08462867150086062,0.04960820787703376,0.1278403090893554,-0.019545171264831573,-0.591206491547601,0.4413208802342725,0.9822826192540426,-1.1200164880721117,-0.019843758560923686
Roland Sallai,16,0,1.106318664514189,0.0,0.06914491653213681,0.06788734389002563,0.03703882854747625,0.10711666108959936,-0.01970499268350423,-0.6581472414603593,0.4793616647921186,0.9818125076262592,-1.106318664514189,-0.020121162273778914
Cristiano Ronaldo dos Santos Aveiro,64,5,6.241119742354266,0.078125,0.09751749597428541,0.09571898237420509,0.06204994986919571,0.1356908674611352,-0.020606044480995234,-0.4906394962855374,0.37356626410092164,0.9072572399929766,-1.2411197423542664,-0.1151048704051405
Ousmane Dembélé,20,0,1.1336294975517367,0.0,0.05668147487758683,0.05543723336028515,0.028143974633106895,0.0911689818228546,-0.023514120813720396,-0.729917816286028,0.5125121178195413,0.9780485331408749,-1.1336294975517367,-0.024884830346033615
